epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.376,1.13997,1.96943,1.11134,0.947,0.94501,0.98085,0.6873,1.03391,1.25576,0.9892,0.000414583,0.000414583,0.000414583
2,1178.98,1.07687,1.01514,1.06094,0.97597,0.97198,0.98866,0.69364,1.05437,0.86856,1.02062,0.000814791,0.000814791,0.000814791
3,1765.4,1.09077,0.8259,1.07018,0.97358,0.94525,0.98399,0.6952,1.02568,0.73639,1.01305,0.0011985,0.0011985,0.0011985
4,2340.99,1.075,0.69729,1.05929,0.97205,0.96288,0.98785,0.68524,1.04353,0.63733,1.02164,0.00117575,0.00117575,0.00117575
5,2926.16,1.06124,0.63207,1.05609,0.97613,0.9699,0.98847,0.71662,1.00587,0.56218,1.00735,0.001151,0.001151,0.001151
6,3484.92,1.05086,0.58939,1.05867,0.97832,0.96739,0.98962,0.71447,1.00483,0.52364,1.00829,0.00112625,0.00112625,0.00112625
7,4050.07,1.04503,0.56043,1.04949,0.99049,0.97569,0.99259,0.71336,1.02119,0.50026,1.00693,0.0011015,0.0011015,0.0011015
8,4609.23,1.05216,0.54846,1.05349,0.98361,0.97923,0.99293,0.72858,0.99368,0.47522,0.99639,0.00107675,0.00107675,0.00107675
9,5235.12,1.02184,0.52306,1.04134,0.98758,0.9856,0.99389,0.72309,1.0049,0.45134,1.00464,0.001052,0.001052,0.001052
10,5888.62,1.02923,0.51603,1.04913,0.98857,0.98316,0.99405,0.7304,0.9925,0.44636,1.00661,0.00102725,0.00102725,0.00102725
11,6527.66,1.00487,0.50159,1.03946,0.98773,0.98425,0.99378,0.73369,0.98183,0.43881,0.99783,0.0010025,0.0010025,0.0010025
12,7078.29,1.01559,0.49551,1.04611,0.98923,0.99215,0.99257,0.73336,0.99885,0.43234,1.0074,0.00097775,0.00097775,0.00097775
13,7635.53,1.01746,0.48427,1.03779,0.99271,0.98587,0.99468,0.73599,0.99198,0.4268,1.00071,0.000953,0.000953,0.000953
14,8196.35,1.00163,0.47505,1.03932,0.98926,0.98895,0.9939,0.73094,0.99714,0.41694,1.0113,0.00092825,0.00092825,0.00092825
15,8824,1.00332,0.4691,1.03543,0.98426,0.99293,0.99378,0.74684,0.97937,0.40817,0.99256,0.0009035,0.0009035,0.0009035
16,9467.04,1.00227,0.47266,1.03569,0.98853,0.99014,0.99332,0.74597,0.97583,0.40082,0.99916,0.00087875,0.00087875,0.00087875
17,10128.3,0.99014,0.45025,1.02533,0.97956,0.99135,0.99434,0.74976,0.97159,0.40077,0.9928,0.000854,0.000854,0.000854
18,10824,0.99181,0.45664,1.03454,0.99435,0.99045,0.99489,0.74904,0.9884,0.38867,1.00369,0.00082925,0.00082925,0.00082925
19,11489.8,0.99419,0.44628,1.03323,0.9947,0.99078,0.99491,0.7537,0.97692,0.39165,0.99903,0.0008045,0.0008045,0.0008045
20,12142.3,0.98567,0.4444,1.02413,0.99077,0.99053,0.99471,0.75074,0.96192,0.3781,0.99233,0.00077975,0.00077975,0.00077975
21,12792.9,0.9864,0.43779,1.02648,0.99009,0.9935,0.99456,0.75465,0.96583,0.37869,0.99664,0.000755,0.000755,0.000755
22,13449.8,0.9813,0.43553,1.03141,0.99169,0.99451,0.99483,0.74514,0.97181,0.37935,0.99139,0.00073025,0.00073025,0.00073025
23,14106.2,0.96766,0.42843,1.02197,0.99411,0.9864,0.99274,0.75968,0.95836,0.37791,0.99288,0.0007055,0.0007055,0.0007055
